Name,Code,Network(s)
0x,ZRX,Ethereum (ERC-20)
1inch,1INCH,Ethereum (ERC-20)
Aave,AAVE,Ethereum (ERC-20)
Aavegotchi,GHST,Ethereum (ERC-20)
Acala,ACA,Acala (Polkadot)
Across Protocol,ACX,Ethereum (ERC-20)
Act I: The AI Prophecy,ACT,Solana
Adventure Gold,AGLD,Ethereum (ERC-20)
Aerodrome Finance,AERO,Base
Aethir,ATH,Ethereum (ERC-20)
Aevo,AEVO,Ethereum (ERC-20)
Akash,AKT,Akash 
AI Rig Complex,ARC,Solana
AI16Z,AI16Z,Solana
aixbt by Virtuals,AIXBT,Base
Alchemist AI,ALCH,Solana
Alchemix,ALCX,Ethereum (ERC-20)
Alchemy Pay,ACH,Ethereum (ERC-20)
Algorand,ALGO,Algorand
Alien Worlds,TLM,Ethereum (ERC-20)
Altair,AIR,Altair (Kusama)
Altlayer,ALT,Ethereum (ERC-20)
Ambire AdEx,ADX,Ethereum (ERC-20)
Ampleforth Governance Token,FORTH,Ethereum (ERC-20)
Ankr,ANKR,Ethereum (ERC-20)
Analog,ANLOG,Ethereum (ERC-20)
ApeCoin,APE,Ethereum (ERC-20)
APENFT,APENFT,Tron
API3,API3,Ethereum (ERC-20)
Aptos ,APT,Aptos network
Apu Apustaja,APU,Ethereum (ERC-20)
Arbitrum ,ARB,Arbitrum One network
Arkham Intelligence,ARKM,Ethereum (ERC-20)
Arpa Chain,ARPA,Ethereum (ERC-20)
Arweave,AR,Arweave network
Astar,ASTR,Astar (Polkadot)
Audius,AUDIO,Ethereum (ERC-20)
Augur,REP,Ethereum (ERC-20)
Augur v2,REPV2,Ethereum (ERC-20)
Ava AI,AVAAI,Solana
Avalanche,AVAX,C-Chain
Aventus***,AVT,Aventus network
Axie Infinity,AXS,Ethereum (ERC-20)
B3 Base,B3,Base
Babylon,BABY,Babylon network
Badger DAO,BADGER,Ethereum (ERC-20)
Balancer,BAL,Ethereum (ERC-20)
Banana For Scale,BANANAS31,BNB Chain
Bancor,BNT,Ethereum (ERC-20)
Band Protocol,BAND,Ethereum (ERC-20)
Barnbridge,BOND,Ethereum (ERC-20)
Basic Attention Token,BAT,Ethereum (ERC-20)
Basilisk,BSX,Basilisk (Kusama)
Beam,BEAM,Ethereum (ERC-20)
Berachain,BERA,Berachain
Biconomy,BICO,Ethereum (ERC-20)
Bifrost,BNC,Bifrost (Kusama)
Big Time,BIGTIME,Ethereum (ERC-20)
Bio Protocol,BIO,Solana
Bitcoin,BTC,"Bitcoin, Lightning "
Bitcoin Cash,BCH,Bitcoin Cash
BitDAO,BIT,Ethereum (ERC-20)
Bittensor,TAO,Substrate (Polkadot)
Bittorrent,BTT,Tron (TRC-20)
Blur,BLUR,Ethereum (ERC-20)
Bluzelle,BLZ,Ethereum (ERC-20)
BNB,BNB,BNB Chain
Boba Network,BOBA,Ethereum (ERC-20)
Bonfida,FIDA,Solana
Bonk,BONK,Solana
Bounce,AUCTION,Ethereum (ERC-20)
Bricks,BRICK,Arbitrum Nova network
Bubblemaps,BMT,Solana
Cardano,ADA,Cardano
Cartesi,CTSI,Ethereum (ERC-20)
Cat in a dogs world,MEW,Solana
Celer Network,CELR,Ethereum (ERC-20)
Celestia,TIA,Celestia network
Celo,CELO,Celo network
Centrifuge,CFG,Centrifuge (Polkadot)
Chainlink,LINK,Ethereum (ERC-20)
Cheems Token,CHEEMS,BNB Chain
Chiliz,CHZ,Ethereum (ERC-20)
Chromia,CHR,Ethereum (ERC-20)
Civic,CVC,Ethereum (ERC-20)
Clearpool,CPOOL,Ethereum (ERC-20)
Clover Finance,CLV,Ethereum (ERC-20)
Compound,COMP,Ethereum (ERC-20)
CoW Protocol,COW,Ethereum (ERC-20)
Coin98,C98,Ethereum (ERC-20)
Convex Finance,CVX,Ethereum (ERC-20)
Corn,CORN,Ethereum (ERC-20)
Cosmos,ATOM,Cosmos
COTI,COTI,Ethereum (ERC-20)
Covalent,CXT,Ethereum (ERC-20)
Cronos,CRO,Ethereum (ERC-20)
Crust Shadow,CSM,Crust Shadow (Kusama)
Curve,CRV,Ethereum (ERC-20)
Cyber,CYBER,OP Mainnet
Dai*,DAI,"Arbitrum One network, Ethereum (ERC-20), Polygon network"
Dash,DASH,Dash
deBridge,DBR,Solana
Decentraland,MANA,Ethereum (ERC-20)
Definitive,EDGE,Base
Dent,DENT, Ethereum (ERC-20)
Derive,DRV, Ethereum (ERC-20)
Dogecoin,DOGE,Dogecoin
Dogs,DOGS,The Open Network (TON)
Dogwifhat,WIF,Solana
Doland Tremp,TREMP,Solana
Dolomite,DOLO,Berachain network
Drift Protocol,DRIFT,Solana
DuckChain,DU,The Open Network
Dymension,DYM,Dymension network
dYdX,DYDX,"dYdX Chain, Ethereum (deposits only)"
Echelon Prime,PRIME,Ethereum (ERC-20)
EigenLayer,EIGEN,Ethereum (ERC-20)
Elixir,ELX,Ethereum (ERC-20)
Energy Web Token,EWT,Energy Web
Enjin Coin,ENJ,Relaychain
Enzyme Finance,MLN,Ethereum (ERC-20)
EOS,EOS,EOS
Ethena,ENA,Ethereum (ERC-20)
Ether.fi,ETHFI,Ethereum (ERC-20)
EthereumPoW,ETHW,Ethereum PoW network
