Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$1,667,818,383,823 ","$84,017.87 ","19,850,756 BTC","$26,921,149,694 ",0.52%,-1.07%,1.82%
2,Ethereum,ETH,"$191,124,494,383 ","$1,583.62 ","120,688,085 ETH *","$11,074,566,675 ",0.77%,-4.29%,-10.33%
3,Tether USDt,USDT,"$144,335,885,730 ",$1.00 ,"144,389,506,101 USDT *","$55,256,150,015 ",<0.01%,0.00%,<0.01%
4,XRP,XRP,"$125,535,201,949 ",$2.15 ,"58,338,141,684 XRP *","$3,901,209,198 ",0.53%,-0.33%,3.26%
5,BNB,BNB,"$83,305,479,113 ",$584.72 ,"142,470,569 BNB *","$1,287,124,743 ",0.00%,-2.41%,0.41%
6,Solana,SOL,"$66,261,924,708 ",$128.39 ,"516,092,515 SOL *","$3,861,766,727 ",1.07%,-1.86%,11.54%
7,USDC,USDC,"$60,077,280,680 ",$1.00 ,"60,082,373,889 USDC *","$7,422,524,742 ",<0.01%,<0.01%,<0.01%
8,Dogecoin,DOGE,"$24,232,296,612 ",$0.16 ,"148,836,406,384 DOGE","$854,095,367 ",0.75%,-1.90%,0.47%
9,TRON,TRX,"$23,592,835,559 ",$0.25 ,"94,961,945,485 TRX *","$456,493,784 ",0.58%,-0.44%,3.83%
10,Cardano,ADA,"$22,697,967,064 ",$0.64 ,"35,281,021,302 ADA *","$670,450,907 ",0.53%,-2.85%,2.38%
11,UNUS SED LEO,LEO,"$8,675,262,868 ",$9.39 ,"923,706,220 LEO *","$2,114,726 ",0.03%,0.22%,4.09%
12,Chainlink,LINK,"$8,363,747,820 ",$12.72 ,"657,099,970 LINK *","$274,941,392 ",0.71%,-3.75%,3.61%
13,Avalanche,AVAX,"$8,195,012,432 ",$19.70 ,"415,842,123 AVAX *","$310,436,031 ",0.71%,-0.92%,15.31%
14,Stellar,XLM,"$7,496,655,357 ",$0.24 ,"30,832,563,395 XLM *","$148,906,126 ",0.12%,-1.85%,-3.06%
15,Sui,SUI,"$7,413,574,979 ",$2.28 ,"3,249,982,900 SUI *","$1,014,450,203 ",0.02%,-1.67%,8.51%
16,Shiba Inu,SHIB,"$7,142,706,361 ",$0.00 ,"589,250,538,968,475 SHIB *","$140,431,477 ",0.38%,-3.52%,1.86%
17,Hedera,HBAR,"$7,121,561,681 ",$0.17 ,"42,228,651,562 HBAR *","$237,132,038 ",0.00%,-3.41%,8.79%
18,Toncoin,TON,"$7,097,945,999 ",$2.86 ,"2,478,974,220 TON *","$150,271,670 ",0.95%,-4.30%,-13.52%
19,Bitcoin Cash,BCH,"$6,837,933,134 ",$344.38 ,"19,855,691 BCH","$318,343,787 ",1.30%,4.90%,16.93%
20,MANTRA,OM,"$5,974,674,285 ",$6.16 ,"969,224,465 OM *","$73,157,460 ",-0.31%,-2.84%,0.11%
21,Litecoin,LTC,"$5,916,127,893 ",$78.29 ,"75,558,468 LTC","$375,595,072 ",0.59%,-0.63%,-1.19%
