Rank,Company Name,Symbol,marketcap,price (USD),country
1,Royal Bank Of Canada,RY,1.38E+11,97.68,Canada
2,Toronto Dominion Bank,TD,1.07E+11,59.47,Canada
3,Shopify,SHOP,97298685952,75.59,Canada
4,Canadian National Railway,CNR,82968657920,129.07,Canada
5,Canadian Pacific Railway,CP,79838126080,85.47,Canada
6,Enbridge,ENB,74069360640,34.8,Canada
7,Thomson Reuters,TRI,71160348672,156.95,Canada
8,Canadian Natural Resources,CNQ,70837977088,65.06,Canada
9,Bank of Montreal,BMO,68087992320,94.3,Canada
10,Brookfield Corporation,BN,62479400960,39.95,Canada
11,Alimentation Couche-Tard,ATD,60405572561,62.69,Canada
12,Scotiabank,BNS,57557393408,47.34,Canada
13,Constellation Software,CSU,57486696381,2712.72,Canada
15,Suncor Energy,SU,43551449088,33.59,Canada
16,Manulife Financial,MFC,43444449280,23.99,Canada
17,CIBC,CM,43218411520,46.32,Canada
18,TC Energy,TRP,41403289600,39.83,Canada
19,BCE,BCE,34652848128,37.92,Canada
20,Restaurant Brands International,QSR,33828818944,75.72,Canada
21,Cenovus Energy,CVE,32750548992,17.5,Canada
22,Imperial Oil,IMO,32695894016,60.94,Canada
23,Loblaw Companies,L,32354317588,102.27,Canada
24,Sun Life Financial,SLF,31451553792,53.71,Canada
25,Intact Financial,IFC,29872013838,167.52,Canada
26,Great-West Lifeco,GWO,29329972016,31.46,Canada
27,Telus,T,26515603456,17.93,Canada
28,National Bank of Canada,NA,26022505397,76.93,Canada
29,CGI,GIB-A,25978361856,111.41,Canada
30,Barrick Gold,GOLD,25950412800,14.75,Canada
31,Nutrien,NTR,24997912576,50.44,Canada
32,Fairfax Financial,FFH,24457391671,996.18,Canada
33,Agnico Eagle Mines,AEM,24291792896,48.76,Canada
34,Rogers Communication,RCI-B,24153759744,45.41,Canada
35,Dollarama,DOL,21689585972,77.12,Canada
36,Franco-Nevada,FNV,20630724608,107.24,Canada
37,Teck Resources,TECK-B,19853555712,38.11,Canada
38,Fortis,FTS,19568678912,39.83,Canada
39,WSP Global,WSP,19134825472,153.53,Canada
40,Power Corporation of Canada,POW,19083037071,28.96,Canada
41,Pembina Pipeline,PPL,18833414144,34.23,Canada
42,Wheaton Precious Metals,WPM,18479216640,40.74,Canada
44,Hydro One,H,18032463480,30.1,Canada
